City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,Brookhaven,US,78.46,broken clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
265,Hambantota,LK,78.06,overcast clouds,6.1241,81.1185,Bungalow 63
266,Avera,US,83.71,overcast clouds,33.194,-82.5271,
267,Sabang,ID,81.95,overcast clouds,5.8933,95.3214,Hotel Citra
268,Sfantu Gheorghe,RO,66.27,broken clouds,45.8667,25.7833,Hotel Park
269,Sainte-Marie,RE,66.36,few clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
273,Sinnamary,GF,78.73,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
274,Saint-Pierre,RE,65.88,broken clouds,-21.3393,55.4781,Alize Plage
279,Cravo Norte,CO,77.65,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
280,Tiruchchendur,IN,80.89,overcast clouds,8.4833,78.1167,"Hotel Udhayam International, Thiruchendur"
281,Itaguai,BR,72.63,light rain,-22.8522,-43.7753,It Grande Hotel Itaguai
284,Wewak,PG,83.71,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
285,Gazli,UZ,76.08,clear sky,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
289,Bafoulabe,ML,78.94,overcast clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
291,Gizo,SB,84.11,overcast clouds,-8.103,156.8419,Imagination Island
296,Ndele,CF,69.69,light rain,8.4109,20.6473,
297,Sorong,ID,77.97,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
298,Mango,US,79.27,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
300,Swan River,CA,71.49,broken clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
303,Barreirinhas,BR,77.58,few clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
304,Garowe,SO,76.8,overcast clouds,8.4054,48.4845,Curubo Hotel
305,Jeremie,HT,81.81,broken clouds,18.65,-74.1167,Auberge’Inn
306,Robertsganj,IN,78.17,broken clouds,24.7,83.0667,Prem Hotel Lodge & Restaurant
309,Baherden,TM,79.63,clear sky,38.4362,57.4316,
310,Roseburg,US,83.75,clear sky,43.2165,-123.3417,"Holiday Inn Express Roseburg, an IHG Hotel"
311,Boende,CD,74.43,broken clouds,-0.2167,20.8667,
312,Amahai,ID,79.32,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
313,Nabire,ID,75.83,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
315,La Montanita,CO,69.84,overcast clouds,1.4766,-75.4398,Casa Materna La Montañita
316,Meulaboh,ID,77.72,overcast clouds,4.1363,96.1285,Kost Pria
322,Harper,LR,74.62,overcast clouds,4.375,-7.7169,Screensaver
