City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
138,Saint-Georges,GD,2022-08-10 01:19:31,12.0564,-61.7485,82.08,83,75,11.5,broken clouds,0.0,0.0
139,Ananindeua,BR,2022-08-10 01:24:01,-1.3656,-48.3722,80.51,83,40,11.5,scattered clouds,0.0,0.0
140,Mahebourg,MU,2022-08-10 01:24:01,-20.4081,57.7,70.09,64,75,16.11,broken clouds,0.0,0.0
141,Kaitangata,NZ,2022-08-10 01:23:37,-46.2817,169.8464,45.59,61,100,7.2,overcast clouds,0.0,0.0
142,Muzaffarabad,PK,2022-08-10 01:24:02,34.37,73.4711,75.81,75,2,4.34,clear sky,0.0,0.0
143,Doha,QA,2022-08-10 01:22:49,25.2867,51.5333,94.98,59,87,5.75,overcast clouds,0.0,0.0
144,Marawi,PH,2022-08-10 01:24:02,7.9986,124.2928,77.09,73,25,3.13,scattered clouds,0.0,0.0
145,Hobart,AU,2022-08-10 01:24:03,-42.8794,147.3294,53.26,68,75,6.91,broken clouds,0.0,0.0
146,Petawawa,CA,2022-08-10 01:24:04,45.9001,-77.3328,61.79,86,20,3.44,few clouds,0.0,0.0
147,Saint-Augustin,CA,2022-08-10 01:24:04,51.226,-58.6502,58.53,74,2,1.19,clear sky,0.0,0.0
148,Bengkulu,ID,2022-08-10 01:24:04,-3.8004,102.2655,76.48,86,64,2.64,broken clouds,0.0,0.0
149,Along,IN,2022-08-10 01:24:04,28.1667,94.7667,75.52,100,100,0.56,light rain,0.0,0.0
150,Muroto,JP,2022-08-10 01:24:05,33.2833,134.15,84.06,77,71,6.33,broken clouds,0.0,0.0
151,Kuryk,KZ,2022-08-10 01:24:05,43.2,51.65,80.02,45,46,5.5,scattered clouds,0.0,0.0
152,Fortuna,US,2022-08-10 01:24:06,40.5982,-124.1573,69.93,68,100,12.66,overcast clouds,0.0,0.0
153,Henties Bay,NA,2022-08-10 01:24:06,-22.116,14.2845,52.45,95,11,2.53,few clouds,0.0,0.0
154,Gorin,RU,2022-08-10 01:24:07,51.1983,136.6669,61.54,78,100,5.91,overcast clouds,0.0,0.0
155,Abu Samrah,SY,2022-08-10 01:24:07,35.3029,37.1841,73.74,71,0,15.57,clear sky,0.0,0.0
156,Hobyo,SO,2022-08-10 01:22:46,5.3505,48.5268,76.8,85,100,24.74,overcast clouds,0.0,0.0
157,Tiksi,RU,2022-08-10 01:22:18,71.6872,128.8694,58.51,72,64,16.64,broken clouds,0.0,0.0
158,Imbituba,BR,2022-08-10 01:24:08,-28.24,-48.6703,63.86,99,100,7.0,moderate rain,0.0,0.0
159,Churapcha,RU,2022-08-10 01:24:09,62.0025,132.4325,59.63,75,100,4.56,overcast clouds,0.0,0.0
160,Touros,BR,2022-08-10 01:24:09,-5.1989,-35.4608,74.8,82,6,12.84,clear sky,0.0,0.0
161,Tuatapere,NZ,2022-08-10 01:24:09,-46.1333,167.6833,45.86,68,100,3.69,overcast clouds,0.0,0.0
162,Jan Kempdorp,ZA,2022-08-10 01:24:10,-27.9225,24.8305,48.61,50,0,2.04,clear sky,0.0,0.0
163,Sidney,AU,2022-08-10 01:24:10,-33.8679,151.2073,60.89,76,83,4.0,broken clouds,0.0,0.0
164,Tombouctou,ML,2022-08-10 01:24:10,20.0,-3.0,82.83,59,7,27.29,clear sky,0.0,0.0
165,Bom Jesus,BR,2022-08-10 01:24:11,-9.0744,-44.3586,72.28,24,3,3.02,clear sky,0.0,0.0
166,Vostok,RU,2022-08-10 01:24:11,46.4856,135.8833,71.4,42,4,10.09,clear sky,0.0,0.0
167,Payson,US,2022-08-10 01:24:12,40.0444,-111.7321,96.4,19,40,6.91,scattered clouds,0.0,0.0
168,Tomatlan,MX,2022-08-10 01:24:12,19.9333,-105.25,82.35,79,88,2.84,overcast clouds,0.0,0.0
169,Souillac,MU,2022-08-10 01:24:12,-20.5167,57.5167,70.18,64,75,16.11,broken clouds,0.0,0.0
170,Ribeira Brava,PT,2022-08-10 01:24:13,32.65,-17.0667,71.71,89,7,2.48,clear sky,0.0,0.0
171,Ayagoz,KZ,2022-08-10 01:24:13,47.9714,80.4392,69.46,46,25,0.83,scattered clouds,0.0,0.0
172,Grand-Santi,GF,2022-08-10 01:24:14,4.25,-54.3833,76.87,78,89,2.01,overcast clouds,0.0,0.0
173,Trairi,BR,2022-08-10 01:22:50,-3.2778,-39.2689,77.43,83,31,9.89,scattered clouds,0.0,0.0
174,Narsaq,GL,2022-08-10 01:24:14,60.9167,-46.05,46.62,81,99,1.5,overcast clouds,0.0,0.0
175,Tocantins,BR,2022-08-10 01:21:39,-10.5,-48.0,73.69,35,15,0.25,few clouds,0.0,0.0
176,Axim,GH,2022-08-10 01:24:14,4.8699,-2.2405,74.19,89,92,9.04,overcast clouds,0.0,0.0
177,Isla Mujeres,MX,2022-08-10 01:24:15,21.2311,-86.731,77.16,83,22,12.5,few clouds,0.0,0.0
178,Grindavik,IS,2022-08-10 01:24:15,63.8424,-22.4338,49.95,100,100,24.16,overcast clouds,0.0,0.0
179,Broome,US,2022-08-10 01:24:16,42.2506,-75.833,70.02,83,0,6.91,clear sky,0.0,0.0
180,Takoradi,GH,2022-08-10 01:23:12,4.8845,-1.7554,73.29,91,98,8.48,overcast clouds,0.0,0.0
181,Hofn,IS,2022-08-10 01:24:17,64.2539,-15.2082,52.03,93,86,19.93,overcast clouds,0.0,0.0
182,Yulin,CN,2022-08-10 01:24:17,22.6333,110.15,76.55,94,100,9.1,overcast clouds,0.0,0.0
183,Khatanga,RU,2022-08-10 01:24:17,71.9667,102.5,57.88,55,89,15.5,overcast clouds,0.0,0.0
184,San Pedro,PH,2022-08-10 01:21:21,14.35,121.0167,85.23,76,75,5.75,broken clouds,0.0,0.0
185,Boden,SE,2022-08-10 01:24:18,65.8252,21.6886,59.0,80,100,3.76,overcast clouds,0.0,0.0
